  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1299        -6.0700        12.4660        -6.0750        12.4750   3675782.2500      3166.4141         0.0000
            1300         1.9860        20.7570         1.9917        20.7583   1328936.7500      1362.1375       327.2000
            1301         2.1940        22.1900         2.2083        22.1750   1315903.6250       747.9149       343.1000
            1302        -4.9480        14.1550        -4.9417        14.1583   3638911.0000      2506.6497       173.7000
            1303         1.1030        23.7810         1.1083        23.7750   1126025.5000       698.0253       364.3000
            1304         1.1050        23.7760         1.1083        23.7750   1126025.5000       698.0253       364.3000
            1305         1.2570        18.6830         1.2417        18.6583   1393629.6250      1439.0348       312.9000
            1306         2.0080        20.5280         2.0083        20.5250   1329500.2500        83.8453       325.5000
            1307         0.5400        25.0750         0.5417        25.0750    951648.9375      1132.5226       377.5000
            1308        -2.7150        16.1870        -2.7250        16.2083   2666789.0000      2976.6965       281.4000
            1309         2.0040        20.7110         1.9917        20.6917   1329039.2500       539.9193       327.2000
            1310         2.1320        21.6590         2.1417        21.6250   1323258.2500      1290.3500       340.8000
            1311        -5.9260        12.9340        -5.9250        12.9417   3671464.0000      2085.3093         0.0000
            1312         1.5940        19.1820         1.5917        19.1750   1391186.7500      1476.7091       317.6000
            1313         1.8810        19.7610         1.8583        19.7750     51064.7383       712.5053       321.3000
            1314        -1.1310        25.6400        -1.1250        25.6417    914832.4375       907.0334       427.9000
            1315         1.5960        19.1840         1.5917        19.1750   1391186.7500      1476.7091       317.6000
            1316        -1.3250        16.8150        -1.3083        16.7917   2334149.5000       925.8224       287.6000
            1317         2.1260        22.5960         2.1250        22.5917     53433.6094       583.5366       351.0000
            1318        -0.0750        18.1120        -0.1083        18.1250   1669901.1250       688.9821       301.6000
            1319         1.9840        20.7190         1.9917        20.7250   1329033.7500       920.1320       327.2000
            1320        -1.0420        17.1670        -1.0583        17.1583   2333094.0000      1645.9983       292.1000
            1321        -3.6660        26.0130        -3.6583        26.0083    774571.8750       774.7408       455.7000
            1322         0.3560        25.3790         0.3583        25.3750    949387.5625      1170.6293       390.2000
            1323        -0.6870        17.6080        -0.6917        17.6083   2328573.2500      2570.7332       292.8000
