ID  Lat Lon EGM96_h
1662  21.920  95.743  -49.31
1663  45.048  0.337 47.66
1664  2.682 23.679  -13.49
1665  2.763 23.820  -13.14
1666  2.835 24.400  -12.28
1667  2.620 23.421  -13.84
1668  2.852 24.305  -12.36
1669  -5.131  -70.678 21.38
1670  -5.076  -70.606 21.09
1671  1.223 29.493  -11.43
1672  1.615 27.065  -13.61
1673  1.540 27.401  -13.59
1674  1.582 27.176  -13.63
1675  1.334 28.056  -13.23
1676  1.082 13.083  6.49
1677  0.251 12.422  7.92
1678  0.733 12.962  6.53
1679  0.894 12.997  6.51
1680  1.032 13.028  6.54
1681  0.357 12.702  7.24
1682  -5.291  -56.342 -16.39
1683  -5.317  -56.181 -16.85
1684  -5.833  -55.743 -17.79
1685  -5.915  -55.761 -17.67
1686  -6.169  -55.817 -17.27
1687  -8.476  -63.516 10.68
1688  -8.849  -63.301 11.32
1689  -9.192  -63.225 12.04
1690  -9.610  -63.131 12.98
1691  -9.626  -63.127 13.02
1692  -9.811  -63.086 13.69
1693  -9.826  -63.082 13.75
1694  -9.836  -63.080 13.80
1695  -9.867  -63.073 13.93
1696  -9.898  -63.066 14.07
1697  -9.928  -63.060 14.21
1698  -9.805  -63.095 13.68
1699  -10.116 -63.165 15.42
1700  -10.436 -63.236 17.09
1701  -10.458 -63.242 17.18
1702  0.757 -75.482 19.89
1703  -1.449  -70.670 14.70
1704  -0.110  -74.365 19.82
1705  -1.875  -67.000 6.62
1706  0.881 -75.822 19.15
1707  -1.724  -68.490 11.73
1708  -1.641  -67.904 9.29
1709  -1.044  -71.196 15.70
1710  -2.007  -65.260 2.00
1711  0.813 -75.532 19.80
1712  -1.735  -68.468 11.66
1713  -1.219  -69.817 14.13
1714  -2.043  -65.213 1.84
1715  -1.640  -68.149 10.27
1716  -0.620  -73.210 19.53
1717  -1.421  -70.741 14.78
1718  -1.433  -69.971 14.40
1719  -1.042  -71.215 15.73
1720  -1.148  -71.471 15.90
1721  -0.570  -72.191 17.52
1722  -2.486  -65.065 1.62
1723  -0.532  -73.044 19.08
1724  -1.815  -68.960 13.38
1725  -0.355  -73.938 20.03
1726  -1.745  -66.339 4.79
1727  -1.077  -71.144 15.60
1728  -0.097  -74.576 19.59
1729  -1.722  -66.315 4.68
1730  0.475 -75.192 19.89
1731  -1.633  -67.985 9.59
1732  -1.644  -67.754 8.72
1733  0.978 -76.249 19.24
1734  -1.577  -70.098 14.57
1735  -1.639  -67.770 8.77
1736  1.028 -76.508 20.83
1737  -1.681  -69.199 13.90
1738  -1.896  -67.108 6.99
1739  -1.694  -69.196 13.91
1740  -1.750  -69.125 13.79
1741  -1.420  -70.579 14.62
1742  -1.449  -70.686 14.72
1743  -1.682  -66.125 4.20
1744  -0.805  -71.881 16.85
1745  -0.629  -72.303 17.62
1746  -0.557  -73.264 19.65
1747  -1.848  -65.644 3.37
1748  -0.412  -73.788 20.09
1749  -1.905  -65.557 3.14
1750  -0.096  -74.600 19.57
1751  -1.901  -67.092 6.95
1752  -0.848  -52.489 -23.53
1753  0.263 -53.099 -25.67
1754  0.524 -53.156 -26.48
1755  0.773 -53.211 -27.19
1756  0.783 -53.213 -27.22
1757  1.241 -53.467 -28.29
1758  -1.189  -52.061 -23.80
1759  -1.225  -52.053 -23.83
1760  1.558 -54.102 -28.42
1761  1.561 -54.116 -28.41
1762  -0.864  -58.960 -15.32
1763  -1.825  -58.453 -15.83
1764  -1.920  -58.367 -15.83
1765  -1.363  -58.490 -16.33
1766  0.230 -59.438 -14.66
1767  0.495 -59.380 -15.28
1768  0.847 -59.302 -15.88
1769  0.881 -59.295 -15.93
1770  1.001 -59.269 -16.09
1771  -4.494  -71.761 20.80
1772  -5.026  -72.606 20.91
1773  -4.369  -70.008 18.64
1774  -4.171  -70.466 19.23
1775  -4.640  -72.007 20.73
1776  -4.188  -70.802 20.09
1777  -4.718  -72.122 20.75
1778  -6.518  -73.161 19.86
1779  -6.153  -73.242 19.00
1780  -4.380  -71.231 20.95
1781  -4.290  -70.061 18.60
1782  -6.394  -73.113 19.66
1783  -5.292  -72.869 20.41
1784  -5.143  -72.836 20.59
1785  -6.477  -73.132 19.80
1786  -4.437  -71.465 20.95
1787  -5.084  -72.760 20.75
1788  -4.348  -71.942 20.76
1789  -4.394  -72.194 20.77
1790  -4.564  -72.708 21.08
1791  -4.676  -72.850 21.04
1792  -11.556 -61.334 15.38
1793  -8.898  -62.173 8.17
1794  -9.038  -61.822 7.05
1795  -9.488  -61.721 8.10
1796  -11.602 -61.245 15.18
1797  -10.379 -61.787 11.66
1798  -10.685 -61.855 12.97
1799  -11.084 -61.945 15.00
1800  -8.279  -62.754 8.18
1801  -8.346  -62.695 8.22
1802  3.958 41.810  -29.31
1803  2.356 42.181  -29.79
1804  -1.115  -62.046 -7.41
1805  -4.049  -69.002 16.39
1806  -3.618  -68.907 15.20
1807  -3.576  -68.898 15.09
1808  -3.523  -68.886 14.94
1809  -4.371  -69.324 18.15
1810  -6.011  -70.154 22.73
1811  -5.396  -70.018 20.95
1812  -5.185  -69.971 20.12
1813  -5.104  -69.953 19.85
1814  -5.023  -69.899 19.59
1815  -7.181  -71.826 23.46
1816  -5.405  -67.377 14.30
1817  -4.257  -66.475 9.31
1818  -6.605  -69.567 22.85
1819  -6.563  -69.672 22.79
1820  -6.595  -69.204 22.80
1821  -5.582  -67.620 15.39
1822  -6.879  -71.065 23.63
1823  -5.075  -66.920 12.47
1824  -6.518  -68.850 21.75
1825  -8.206  -72.797 23.05
1826  -8.047  -72.762 22.90
1827  -8.022  -72.756 22.89
1828  -7.850  -72.718 22.94
1829  -7.659  -72.675 23.08
1830  -6.743  -70.237 22.98
1831  -7.052  -71.606 23.48
1832  -5.104  -67.079 12.97
1833  -10.068 -72.369 26.17
1834  -8.353  -72.753 23.31
1835  -8.203  -72.786 23.05
1836  -3.214  -65.987 6.16
1837  -6.524  -68.830 21.68
1838  -6.581  -68.986 22.29
1839  -5.075  -67.013 12.73
1840  -6.719  -70.311 23.12
1841  -6.710  -70.309 23.11
